Few people in the advertising business have raised as many hackles as Alvin A. Achenbaum .	have raised	Few people in the advertising business	as many hackles
Mr. Stoll suspected the intruder was one of those precocious students who has fun breaking into computers .	was	the intruder	one of those precocious students who has fun breaking into computers
Mr. Stoll suspected the intruder was one of those precocious students who has fun breaking into computers .	suspected	Mr. Stoll	the intruder was one of those precocious students who has fun breaking into computers
Mr. Stoll suspected the intruder was one of those precocious students who has fun breaking into computers .	has fun breaking into	precocious students	computers
There were 143 households out of which 30.1 % had children under the age of 18 living with them , 49.7 % were married couples living together , 11.9 % had a female householder with no husband present , and 36.4 % were non-families .	had	30.1 %	children under the age of 18 living with them
There were 143 households out of which 30.1 % had children under the age of 18 living with them , 49.7 % were married couples living together , 11.9 % had a female householder with no husband present , and 36.4 % were non-families .	were	49.7 %	married couples living together
There were 143 households out of which 30.1 % had children under the age of 18 living with them , 49.7 % were married couples living together , 11.9 % had a female householder with no husband present , and 36.4 % were non-families .	had	11.9 %	a female householder with no husband present
There were 143 households out of which 30.1 % had children under the age of 18 living with them , 49.7 % were married couples living together , 11.9 % had a female householder with no husband present , and 36.4 % were non-families .	were	36.4 %	non-families
The Steinbrenner family added a monument to Monument Park on September 20 , 2010 to honor Steinbrenner .	added	The Steinbrenner family	a monument
The Steinbrenner family added a monument to Monument Park on September 20 , 2010 to honor Steinbrenner .	honor	The Steinbrenner family	Steinbrenner
A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .	has	A spectrum from a single FID	a low signal-to-noise ratio
A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .	improves readily	A spectrum from a single FID	
The New Orleans oil and gas exploration and diving operations company added that it does n't expect any further adverse financial impact from the restructuring .	added	The New Orleans oil and gas exploration and diving operations company	that it does n't expect any further adverse financial impact from the restructuring
The New Orleans oil and gas exploration and diving operations company added that it does n't expect any further adverse financial impact from the restructuring .	does n't expect	it	any further adverse financial impact from the restructuring
`` To allow this massive level of unfettered federal borrowing without prior congressional approval would be irresponsible , '' said Rep. Fortney Stark ( D. , Calif. ) , who has introduced a bill to limit the RTC 's authority to issue debt .	would be	To allow this massive level of unfettered federal borrowing without prior congressional approval	irresponsible
`` To allow this massive level of unfettered federal borrowing without prior congressional approval would be irresponsible , '' said Rep. Fortney Stark ( D. , Calif. ) , who has introduced a bill to limit the RTC 's authority to issue debt .	said	Rep. Fortney Stark ( D. , Calif. )	To allow this massive level of unfettered federal borrowing without prior congressional approval would be irresponsible
`` To allow this massive level of unfettered federal borrowing without prior congressional approval would be irresponsible , '' said Rep. Fortney Stark ( D. , Calif. ) , who has introduced a bill to limit the RTC 's authority to issue debt .	has introduced	Rep. Fortney Stark ( D. , Calif. )	a bill
`` To allow this massive level of unfettered federal borrowing without prior congressional approval would be irresponsible , '' said Rep. Fortney Stark ( D. , Calif. ) , who has introduced a bill to limit the RTC 's authority to issue debt .	limit	a bill	the RTC 's authority to issue debt
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	became	he	the youngest mayor in Pittsburgh 's history
The stock pot should be chilled and the solid lump of dripping which settles when chilled should be scraped clean and re-chilled for future use .	should be chilled	The stock pot	
The stock pot should be chilled and the solid lump of dripping which settles when chilled should be scraped clean and re-chilled for future use .	should be scraped clean and re-chilled	the solid lump of dripping	
The stock pot should be chilled and the solid lump of dripping which settles when chilled should be scraped clean and re-chilled for future use .	<be> chilled	the solid lump of dripping	
The stock pot should be chilled and the solid lump of dripping which settles when chilled should be scraped clean and re-chilled for future use .	settles	the solid lump of dripping	
In athletics , Boston College left the Big East Conference and joined the Atlantic Coast Conference on July 1 , 2005 .	left	Boston College	the Big East Conference
In athletics , Boston College left the Big East Conference and joined the Atlantic Coast Conference on July 1 , 2005 .	joined	Boston College	the Atlantic Coast Conference
As of Sept. 30 , American Brands had 95.2 million shares outstanding .	had	American Brands	95.2 million shares outstanding
No announcement from UTV was made about the decision to close the station earlier than planned .	was made	No announcement from UTV	
No announcement from UTV was made about the decision to close the station earlier than planned .	close	the decision	the station
However , StatesWest is n't abandoning its pursuit of the much - larger Mesa .	is n't abandoning	StatesWest	its pursuit of the much - larger Mesa
The rest of the group reach a small shop , where Brady attempts to phone the Sheriff , but the crocodile breaks through a wall and devours Annabelle .	reach	The rest of the group	a small shop
The rest of the group reach a small shop , where Brady attempts to phone the Sheriff , but the crocodile breaks through a wall and devours Annabelle .	attempts to phone	Brady	the Sheriff
The rest of the group reach a small shop , where Brady attempts to phone the Sheriff , but the crocodile breaks through a wall and devours Annabelle .	breaks through	the crocodile	a wall
The rest of the group reach a small shop , where Brady attempts to phone the Sheriff , but the crocodile breaks through a wall and devours Annabelle .	devours	the crocodile	Annabelle
He lodged near the hospital at 28 St Thomas 's Street in Southwark , with other medical students , including Henry Stephens who became a famous inventor and ink magnate .	lodged	He	
He lodged near the hospital at 28 St Thomas 's Street in Southwark , with other medical students , including Henry Stephens who became a famous inventor and ink magnate .	became	Henry Stephens	a famous inventor and ink magnate
To keep the family together , Michael asks his self-centered twin sister Lindsay , her husband Tobias and their daughter Maeby to live together in the Bluth model home with him and George Michael .	asks	Michael	his self-centered twin sister Lindsay , her husband Tobias and their daughter Maeby
The Wilbur Cross Highway formerly ended in Sturbridge ; locals sometimes call Haynes Street and portions of Mashapaug Road `` Old Route 15 '' .	formerly ended in	The Wilbur Cross Highway	Sturbridge
The Wilbur Cross Highway formerly ended in Sturbridge ; locals sometimes call Haynes Street and portions of Mashapaug Road `` Old Route 15 '' .	sometimes call	locals	Haynes Street and portions of Mashapaug Road
It has long hind legs and a long , slender , scaly tail that it uses to communicate by making drumming noises .	has	It	long hind legs and a long , slender , scaly tail
It has long hind legs and a long , slender , scaly tail that it uses to communicate by making drumming noises .	uses	it	a long , slender , scaly tail
Ryukichi Imai , Japan 's ambassador to Mexico , agrees that Mexico may be too eager .	<be>	Ryukichi	Japan 's ambassador to Mexico
Ryukichi Imai , Japan 's ambassador to Mexico , agrees that Mexico may be too eager .	agrees	Ryukichi Imai	that Mexico may be too eager
Ryukichi Imai , Japan 's ambassador to Mexico , agrees that Mexico may be too eager .	may be	Mexico	too eager
The issue is backed by a 12 % letter of credit from Credit Suisse .	is backed by	The issue	a 12 % letter of credit from Credit Suisse
Within two hours , viewers pledged over $ 400,000 , according to a Red Cross executive .	pledged over	viewers	$ 400,000
Johns also appeared as an Imperial Officer in the 1980 `` Star Wars sequel '' , `` The Empire Strikes Back '' .	appeared as	Johns	an Imperial Officer
However , a Canadian Embassy official in Tel Aviv said that Canada was unlikely to sell the Candu heavy - water reactor to Israel since Israel has n't signed the Nuclear Non - Proliferation Treaty .	said	a Canadian Embassy official in Tel Aviv	that Canada was unlikely to sell the Candu heavy - water reactor to Israel since Israel has n't signed the Nuclear Non - Proliferation Treaty
However , a Canadian Embassy official in Tel Aviv said that Canada was unlikely to sell the Candu heavy - water reactor to Israel since Israel has n't signed the Nuclear Non - Proliferation Treaty .	was unlikely to sell	Canada	the Candu heavy - water reactor
However , a Canadian Embassy official in Tel Aviv said that Canada was unlikely to sell the Candu heavy - water reactor to Israel since Israel has n't signed the Nuclear Non - Proliferation Treaty .	has n't signed	Israel	the Nuclear Non - Proliferation Treaty
Her recent report classifies the stock as a `` hold . ''	classifies	Her recent report	the stock
Hawker Pacific Aerospace is a MRO-Service company which offers landing gear and hydraulic MRO services for all major aircraft types .	is	Hawker Pacific Aerospace	a MRO-Service company
Hawker Pacific Aerospace is a MRO-Service company which offers landing gear and hydraulic MRO services for all major aircraft types .	offers	Hawker Pacific Aerospace	landing gear and hydraulic MRO services
The first comes from when Sweden 's Royal Couple lived there during the 1992 Barcelona Summer Olympics .	comes from	The first	when Sweden 's Royal Couple lived there during the 1992 Barcelona Summer Olympics
The first comes from when Sweden 's Royal Couple lived there during the 1992 Barcelona Summer Olympics .	lived	Sweden 's Royal Couple	there
Modernity has been blended without sacrificing on the traditional Buddhist ethos .	has been blended	Modernity	
The third known version is part number 2189014-00-212 , with at least one model being produced in February 1993 .	is	The third known version	part number 2189014-00-212
The third known version is part number 2189014-00-212 , with at least one model being produced in February 1993 .	being produced	at least one model	
Although Heathrow authorities have been watching a group of allegedly crooked baggage handlers for some time , the Gauguin may be `` lost . ''	have been watching	Heathrow authorities	a group of allegedly crooked baggage handlers
Although Heathrow authorities have been watching a group of allegedly crooked baggage handlers for some time , the Gauguin may be `` lost . ''	may be	the Gauguin	`` lost . ''
